Postać A,Postać B,Siła
BATEMAN,PRICE,6
BATEMAN,COURTNEY,6
BATEMAN,EVELYN,5
BATEMAN,CARRUTHERS,5
BATEMAN,JEAN,4
BATEMAN,KIMBALL,4
BATEMAN,CHRISTIE,4
BATEMAN,OWEN,3
BATEMAN,WAITER,2
CARRUTHERS,PRICE,2
BATEMAN,DAISY,2
PRICE,WAITER,1
BATEMAN,MAN,1
JEAN,MAN,1
BATEMAN,STASH,1
BATEMAN,VANDEN,1
CARRUTHERS,COURTNEY,1
CARRUTHERS,EVELYN,1
CARRUTHERS,STASH,1
CARRUTHERS,VANDEN,1
COURTNEY,EVELYN,1
COURTNEY,PRICE,1
COURTNEY,STASH,1
COURTNEY,VANDEN,1
EVELYN,PRICE,1
EVELYN,STASH,1
EVELYN,VANDEN,1
PRICE,STASH,1
PRICE,VANDEN,1
STASH,VANDEN,1
BATEMAN,VICTORIA,1
CARRUTHERS,OWEN,1
OWEN,PRICE,1
OWEN,WAITER,1
JEAN,KIMBALL,1
BATEMAN,SABRINA,1
CHRISTIE,SABRINA,1
BATEMAN,CARON,1
BATEMAN,LIBBY,1
CARON,DAISY,1
CARON,KIMBALL,1
CARON,LIBBY,1
CARON,PRICE,1
DAISY,KIMBALL,1
DAISY,LIBBY,1
DAISY,PRICE,1
KIMBALL,LIBBY,1
KIMBALL,PRICE,1
LIBBY,PRICE,1
EVELYN,JEAN,1
BATEMAN,ELIZABETH,1
CHRISTIE,ELIZABETH,1
BATEMAN,WOMAN,1
BATEMAN,DOORMAN,1
BATEMAN,CARNES,1
CARNES,PRICE,1
