p1,p2,weight
JULES,VINCENT,17
MIA,VINCENT,9
JIMMIE,THE WOLF,6
LANCE,VINCENT,5
BUTCH,FADE TO BLACK,4
JIMMIE,JULES,4
JULES,THE WOLF,4
HONEY BUNNY,PUMPKIN,3
JODY,VINCENT,3
BUTCH,ESMARELDA,3
THE WOLF,VINCENT,3
BUTCH,VINCENT,2
JULES,MARVIN,2
MARVIN,VINCENT,2
ENGLISH DAVE,VINCENT,2
JODY,LANCE,2
BUTCH,FABIENNE,2
FABIENNE,FADE TO BLACK,2
BUTCH,MARSELLUS,2
JIMMIE,VINCENT,2
HONEY BUNNY,JULES,2
HONEY BUNNY,MANAGER,2
HONEY BUNNY,VINCENT,2
JULES,MANAGER,2
JULES,PUMPKIN,2
MANAGER,PUMPKIN,2
MANAGER,VINCENT,2
PUMPKIN,VINCENT,2
HONEY BUNNY,WAITRESS,1
HONEY BUNNY,YOUNG MAN,1
HONEY BUNNY,YOUNG WOMAN,1
PUMPKIN,WAITRESS,1
PUMPKIN,YOUNG MAN,1
PUMPKIN,YOUNG WOMAN,1
WAITRESS,YOUNG MAN,1
WAITRESS,YOUNG WOMAN,1
YOUNG MAN,YOUNG WOMAN,1
BRETT,BUTCH,1
BRETT,JULES,1
BRETT,MARVIN,1
BRETT,ROGER,1
BRETT,VINCENT,1
BUTCH,JULES,1
BUTCH,MARVIN,1
BUTCH,ROGER,1
JULES,ROGER,1
MARVIN,ROGER,1
ROGER,VINCENT,1
BUTCH,ENGLISH DAVE,1
JODY,TRUDI,1
TRUDI,VINCENT,1
BUDDY,MIA,1
BUDDY,VINCENT,1
ED SULLIVAN,MIA,1
ED SULLIVAN,VINCENT,1
JODY,LANCE AND VINCENT,1
LANCE,LANCE AND VINCENT,1
LANCE AND VINCENT,VINCENT,1
JODY,MIA,1
LANCE,MIA,1
FADE TO BLACK,MIA,1
FADE TO BLACK,MOTHER,1
FADE TO BLACK,VINCENT,1
MIA,MOTHER,1
MOTHER,VINCENT,1
BUTCH,KLONDIKE,1
FADE TO BLACK,KLONDIKE,1
ENGLISH DAVE,MIA,1
BUTCH,PEDESTRIAN,1
MARSELLUS,PEDESTRIAN,1
BUTCH,MAYNARD,1
FADE TO BLACK,MAYNARD,1
MAYNARD,THE GIMP,1
MAYNARD,ZED,1
THE GIMP,ZED,1
FOURTH MAN,JULES,1
FOURTH MAN,VINCENT,1
JULES,MARSELLUS,1
JULES,RAQUEL,1
JULES,WINSTON,1
RAQUEL,VINCENT,1
RAQUEL,WINSTON,1
VINCENT,WINSTON,1
HONEY BUNNY,PATRON,1
JULES,PATRON,1
MANAGER,PATRON,1
PATRON,PUMPKIN,1
PATRON,VINCENT,1
FADE OUT,HONEY BUNNY,1
FADE OUT,JULES,1
FADE OUT,MANAGER,1
FADE OUT,PUMPKIN,1
FADE OUT,THE END,1
FADE OUT,VINCENT,1
FADE OUT,YOLANDA,1
HONEY BUNNY,THE END,1
HONEY BUNNY,YOLANDA,1
JULES,THE END,1
JULES,YOLANDA,1
MANAGER,THE END,1
MANAGER,YOLANDA,1
PUMPKIN,THE END,1
PUMPKIN,YOLANDA,1
THE END,VINCENT,1
THE END,YOLANDA,1
VINCENT,YOLANDA,1
